,"29","8","16","43","14","0","28","9","16","27","11","0","17","7","0","46","13","3","38","9","66","33","14","0","36","12","0","37","14","9"
,"29","8","10","43","14","0","29","9","85","27","11","0","17","7","1","46","13","7","39","9","41","33","14","1","36","12","1","37","14","0"
,"29","8","2","43","14","5","30","10","181","27","11","1","17","7","0","46","13","0","40","9","18","33","14","0","36","12","0","37","14","1"
,"29","8","2","44","14","23","31","11","205","27","11","1","17","7","2","46","13","0","41","9","17","33","14","0","36","12","0","37","14","0"
,"29","8","1","45","14","72","32","12","153","27","11","1","18","7","18","46","13","1","41","9","14","33","14","1","36","12","0","37","14","1"
,"29","8","0","46","14","87","33","12","88","27","11","0","19","7","37","46","13","7","41","9","7","33","14","0","36","12","1","37","14","1"
,"29","8","0","47","14","57","34","12","33","27","11","7","20","8","114","46","13","9","41","9","2","33","14","0","37","12","30","37","14","0"
,"29","8","0","48","14","24","34","12","5","28","11","38","21","9","184","46","13","1","41","9","0","33","14","1","38","12","59","37","14","1"
,"29","8","1","48","14","11","34","12","4","29","12","123","22","10","178","46","13","7","41","9","4","33","14","0","39","13","138","37","14","0"
,"29","8","0","48","14","4","34","12","0","30","13","151","23","11","125","47","13","28","42","9","16","33","14","0","40","14","189","37","14","1"
,"29","8","0","48","14","5","34","12","2","31","14","163","24","11","67","48","13","40","42","9","11","33","14","0","41","15","156","37","14","1"
,"29","8","1","49","14","29","34","12","0","32","15","114","25","11","19","49","13","79","42","9","1","33","14","0","42","16","132","37","14","0"
,"29","8","1","50","14","31","34","12","3","33","15","60","25","11","0","50","14","128","42","9","4","33","14","0","43","16","88","37","14","0"
,"29","8","1","50","14","4","34","12","12","34","15","26","25","11","1","51","15","146","43","9","19","33","14","2","44","16","40","37","14","0"
,"29","8","0","51","14","23","35","12","16","34","15","10","25","11","2","52","16","121","44","9","77","33","14","0","44","16","13","37","14","0"
,"29","8","0","52","14","53","36","12","18","34","15","8","25","11","13","53","16","68","45","9","94","33","14","1","44","16","11","37","14","0"
,"29","8","0","53","14","90","37","12","32","34","15","2","26","11","24","54","16","31","46","9","89","33","14","0","44","16","0","37","14","1"
,"29","8","0","54","14","95","38","12","37","34","15","9","27","11","45","54","16","13","47","9","77","33","14","4","44","16","0","37","14","1"
,"29","8","0","55","14","92","39","12","45","34","15","5","28","11","46","54","16","7","48","9","80","34","14","64","44","16","1","37","14","1"
,"29","8","0","56","14","53","40","12","56","34","15","0","29","11","70","54","16","9","49","9","64","35","15","169","44","16","0","37","14","1"
,"29","8","0","57","14","25","41","12","80","34","15","0","30","11","85","54","16","10","50","9","37","36","16","232","44","16","0","37","14","0"
,"29","8","0","58","14","20","42","12","62","34","15","8","31","11","86","54","16","2","50","9","0","37","17","198","44","16","0","37","14","0"
,"29","8","1","58","14","4","43","12","33","34","15","7","32","11","67","54","16","0","50","9","0","38","18","139","45","16","16","37","14","2"
,"29","8","0","58","14","1","43","12","2","34","15","0","33","11","57","54","16","0","50","9","0","39","18","78","46","16","41","37","14","0"
,"29","8","0","58","14","0","43","12","0","34","15","1","34","11","28","54","16","0","50","9","0","40","18","41","47","16","64","37","14","2"
,"29","8","0","58","14","0","43","12","2","34","15","0","34","11","4","54","16","0","50","9","0","41","18","28","48","17","106","37","14","2"
,"29","8","1","58","14","0","43","12","0","34","15","0","34","11","0","54","16","1","50","9","0","42","18","23","49","18","140","37","14","0"
,"29","8","0","58","14","0","43","12","0","34","15","0","34","11","4","54","16","0","50","9","0","42","18","9","50","19","117","37","14","0"
,"29","8","0","58","14","0","43","12","8","34","15","2","35","11","24","54","16","1","50","9","0","42","18","4","51","19","61","37","14","1"
,"30","8","17","58","14","1","44","12","66","34","15","0","36","11","21","54","16","0","50","9","0","42","18","0","52","19","25","37","14","0"
,"31","8","56","58","14","1","45","12","93","34","15","15","36","11","7","54","16","0","50","9","1","42","18","1","53","19","40","37","14","0"
,"32","8","67","58","14","0","46","13","103","35","15","69","36","11","1","54","16","1","50","9","13","42","18","2","54","19","35","37","14","1"
,"33","9","137","58","14","0","47","14","105","36","16","149","36","11","1","54","16","0","51","9","43","42","18","7","55","19","20","37","14","11"
,"34","10","121","58","14","6","48","14","80","37","17","192","36","11","0","54","16","0","52","9","44","42","18","8","55","19","4","38","14","38"
,"35","10","80","58","14","12","49","14","50","38","18","153","36","11","1","54","16","1","53","9","55","42","18","7","55","19","9","39","14","89"
,"36","10","32","58","14","0","49","14","15","39","18","96","36","11","1","54","16","1","54","10","126","43","18","21","55","19","13","40","15","168"
,"36","10","10","58","14","1","49","14","5","40","18","37","36","11","0","54","16","13","55","11","140","44","18","88","55","19","9","41","16","177"
,"36","10","5","58","14","0","49","14","3","40","18","3","36","11","0","55","17","103","56","11","100","45","19","187","55","19","2","42","17","123"
,"36","10","0","58","14","0","49","14","0","41","18","19","36","11","0","56","18","212","57","11","55","46","20","193","55","19","3","43","17","71"
,"36","10","2","58","14","0","49","14","9","42","18","27","36","11","0","57","19","203","58","11","16","47","21","145","55","19","0","44","17","22"
,"36","10","10","58","14","0","49","14","4","42","18","12","37","11","21","58","20","153","59","11","26","48","21","84","55","19","0","44","17","11"
,"36","10","14","58","14","0","49","14","0","42","18","1","38","11","36","59","20","91","60","11","23","49","21","62","55","19","1","44","17","7"
,"37","10","48","58","14","0","49","14","0","42","18","3","39","11","55","60","20","40","60","11","14","50","21","56","55","19","1","44","17","12"
,"38","10","56","58","14","0","49","14","1","42","18","0","40","12","115","60","20","14","61","11","17","51","21","36","55","19","0","44","17","8"
,"39","10","73","58","14","0","49","14","0","42","18","0","41","13","148","60","20","0","61","11","5","52","21","27","55","19","0","44","17","8"
,"40","10","62","58","14","0","49","14","4","42","18","0","42","14","129","60","20","0","61","11","1","52","21","10","56","19","19","44","17","0"
,"41","10","31","58","14","0","49","14","0","42","18","0","43","14","93","60","20","1","61","11","1","52","21","11","57","19","93","44","17","1"
,"41","10","12","58","14","1","49","14","1","42","18","3","44","14","65","60","20","2","61","11","0","52","21","0","58","20","180","44","17","5"
,"41","10","2","58","14","0","49","14","1","42","18","1","45","14","31","60","20","14","61","11","0","52","21","1","59","21","213","44","17","0"
,"41","10","1","58","14","1","49","14","0","42","18","0","45","14","7","60","20","8","61","11","0","52","21","1","60","22","157","44","17","0"
,"41","10","4","59","14","19","49","14","0","42","18","0","45","14","0","60","20","0","62","11","19","52","21","0","61","23","108","44","17","0"
,"41","10","0","60","14","17","49","14","1","42","18","1","45","14","0","60","20","3","63","11","49","52","21","12","62","23","61","44","17","0"
,"41","10","1","60","14","4","49","14","1","42","18","0","45","14","0","60","20","7","64","11","44","53","21","38","63","23","27","44","17","1"
,"41","10","3","60","14","1","50","14","47","42","18","1","45","14","0","61","20","18","65","11","33","54","22","105","63","23","12","44","17","0"
,"42","10","38","60","14","2","51","15","114","42","18","4","45","14","0","62","20","16","66","11","49","55","23","150","63","23","4","44","17","0"
,"43","10","67","60","14","4","52","16","200","42","18","5","45","14","0","62","20","0","67","11","68","56","24","171","63","23","0","44","17","0"
,"44","10","81","60","14","0","53","17","177","42","18","0","45","14","0","62","20","1","68","12","104","57","25","130","63","23","0","45","17","17"
,"45","10","92","60","14","0","54","18","120","42","18","0","45","14","0","62","20","0","69","13","102","58","25","87","63","23","2","46","18","104"
,"46","10","77","60","14","0","55","18","69","42","18","1","45","14","0","62","20","0","70","13","65","59","25","62","63","23","0","47","19","147"
,"47","10","37","60","14","2","56","18","31","42","18","1","45","14","1","62","20","0","71","13","34","60","25","35","63","23","3","48","20","165"
,"48","10","26","61","14","53","56","18","8","42","18","0","45","14","0","62","20","0","71","13","15","60","25","11","63","23","0","49","21","162"
,"49","10","16","62","14","98","56","18","1","42","18","0","45","14","0","62","20","0","71","13","6","60","25","3","63","23","0","50","22","112"
,"49","10","6","63","15","175","56","18","0","42","18","0","45","14","0","62","20","0","71","13","1","60","25","3","63","23","0","51","22","50"
,"49","10","0","64","16","156","56","18","1","42","18","0","45","14","0","62","20","0","71","13","0","60","25","0","63","23","0","52","22","24"
,"49","10","4","65","17","103","56","18","2","42","18","0","45","14","0","62","20","0","71","13","2","60","25","0","63","23","1","52","22","9"
,"49","10","9","66","17","54","56","18","1","42","18","1","45","14","0","62","20","1","71","13","6","60","25","1","63","23","0","52","22","7"
,"50","10","24","67","17","23","56","18","0","42","18","0","45","14","0","63","20","25","71","13","13","60","25","0","63","23","5","52","22","4"
,"51","10","36","67","17","4","56","18","1","42","18","0","45","14","0","64","21","102","72","13","16","60","25","0","64","23","30","52","22","4"
,"52","10","36","67","17","7","56","18","0","42","18","0","45","14","1","65","22","188","73","13","20","60","25","0","65","24","103","52","22","0"
,"53","10","20","67","17","0","56","18","0","42","18","0","45","14","2","66","23","206","73","13","9","60","25","2","66","25","169","52","22","1"
,"53","10","13","67","17","0","56","18","0","42","18","0","45","14","0","67","24","155","73","13","0","60","25","10","67","26","197","52","22","2"
,"53","10","13","67","17","4","56","18","0","42","18","0","45","14","0","68","25","105","73","13","0","61","25","43","68","27","132","52","22","0"
,"53","10","3","67","17","1","56","18","0","42","18","0","45","14","2","69","25","56","73","13","0","62","25","69","69","27","84","52","22","0"
,"53","10","1","67","17","0","56","18","0","42","18","0","45","14","0","69","25","11","73","13","0","63","26","160","70","27","39","52","22","2"
,"53","10","0","67","17","0","56","18","1","42","18","1","45","14","0","69","25","10","73","13","0","64","27","196","70","27","9","52","22","0"
,"53","10","0","67","17","0","56","18","0","42","18","0","45","14","0","70","25","21","73","13","0","65","28","159","70","27","6","52","22","9"
,"53","10","0","67","17","0","56","18","0","42","18","1","45","14","0","71","25","22","73","13","0","66","29","115","70","27","0","53","22","48"
,"53","10","0","67","17","0","56","18","0","42","18","0","45","14","0","71","25","5","73","13","1","67","29","70","70","27","1","54","23","130"
,"53","10","5","67","17","1","56","18","0","42","18","0","45","14","4","71","25","6","73","13","1","68","29","25","70","27","7","55","24","189"
,"53","10","2","67","17","0","56","18","0","42","18","0","46","14","25","71","25","3","74","13","18","68","29","12","70","27","1","56","25","148"
,"53","10","1","67","17","0","56","18","2","42","18","2","47","14","29","71","25","4","75","13","78","68","29","6","70","27","1","57","25","85"
,"53","10","3","67","17","0","56","18","5","42","18","0","48","14","16","71","25","5","76","14","148","68","29","4","70","27","1","58","25","58"
,"53","10","2","67","17","0","57","18","26","42","18","0","49","14","44","71","25","0","77","15","188","68","29","6","70","27","0","59","25","25"
,"54","10","33","67","17","2","58","18","28","42","18","0","50","14","95","71","25","0","78","16","155","68","29","6","70","27","0","59","25","6"
,"55","10","67","67","17","1","59","18","49","42","18","0","51","15","132","71","25","2","79","17","104","68","29","8","70","27","0","59","25","0"
,"56","11","127","67","17","1","60","18","67","43","18","33","52","16","139","71","25","1","80","17","53","68","29","2","70","27","0","59","25","2"
,"57","12","143","67","17","15","61","18","75","44","18","78","53","16","93","71","25","0","80","17","11","68","29","5","70","27","11","59","25","1"
,"58","13","102","68","17","64","62","18","89","45","19","117","54","16","43","71","25","0","80","17","1","68","29","3","71","27","43","59","25","1"
,"59","13","71","69","17","41","63","18","95","46","20","148","54","16","8","71","25","0","80","17","0","68","29","0","72","27","96","59","25","1"
